Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-06,216,NUBL,38.67,602.0,618.0,600.1,613.0,613.0,606.95,2259,610.0,1371090.7,26,3.0,17.9,0.49,2.98,0.99,665.87,689.65,815.0,582.2
2026-08-06,217,NWCL,21.45,681.3,696.9,681.3,696.9,696.9,690.2,656,690.0,452768.1,25,6.9,15.6,1.0,2.29,0.96,802.0,813.23,1045.0,681.3
2026-08-06,218,NYADI,40.85,363.3,380.9,363.3,372.2,372.2,375.35,6040,367.0,2267087.3,72,5.2,17.6,1.42,4.84,-0.85,396.33,395.85,482.0,341.0
2026-08-06,219,OHL,32.67,667.0,670.0,659.0,670.0,670.0,661.12,1730,660.5,1143731.0,14,9.5,11.0,1.44,1.67,1.33,702.76,704.23,916.0,633.1
2026-08-06,220,OMPL,23.9,904.0,929.0,903.6,905.0,905.0,912.47,2078,924.9,1896110.0,61,-19.9,25.4,-2.15,2.81,-0.83,1161.65,1198.07,1575.9,848.0
2026-08-06,221,PBD85,21.45,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,50,1077.0,53000.0,1,-17.0,0.0,-1.58,0.0,0.0,1072.8,1063.84,1150.0,1033.0
2026-08-06,222,PBLD87,14.3,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,100,1085.0,108000.0,3,-5.0,0.0,-0.46,0.0,0.0,1080.92,1064.49,1150.0,1021.3
2026-08-06,223,PCBL,23.46,242.5,246.0,239.2,240.1,240.1,240.73,44619,242.5,10741278.7,134,-2.4,6.8,-0.99,2.84,-0.26,241.25,243.09,275.9,225.0
2026-08-06,224,PCIL,17.03,612.0,650.0,612.0,635.0,635.0,637.03,24618,644.0,15682458.0,610,-9.0,38.0,-1.4,6.21,-0.32,0.0,0.0,1280.0,300.0
2026-08-06,225,PHCL,21.22,299.0,303.0,297.5,297.5,297.5,300.32,28105,299.0,8440481.7,159,-1.5,5.5,-0.5,1.85,-0.95,307.5,302.51,520.0,249.7
2026-08-06,226,PMHPL,26.4,312.0,324.0,312.0,319.0,319.0,315.94,11044,320.0,3489212.0,45,-1.0,12.0,-0.31,3.85,0.96,344.32,338.77,468.0,287.0
2026-08-06,227,PMLI,28.92,437.0,444.0,437.0,438.7,438.7,439.27,2069,444.0,908851.9,81,-5.3,7.0,-1.19,1.6,-0.13,472.84,481.45,543.6,424.2
2026-08-06,228,PPCL,39.65,358.0,358.0,335.0,340.0,340.0,336.71,10682,341.0,3596698.0,36,-1.0,23.0,-0.29,6.87,0.97,377.55,365.93,462.0,284.1
2026-08-06,229,PPL,40.52,309.3,333.9,309.3,330.0,330.0,328.43,19653,325.5,6454665.0,133,4.5,24.6,1.38,7.95,0.48,359.19,352.49,425.0,263.2
2026-08-06,230,PRIN,26.16,661.1,675.0,661.1,670.5,670.5,667.38,1869,670.0,1247340.1,29,0.5,13.9,0.07,2.1,0.46,696.49,692.23,815.0,630.0
2026-08-06,231,PROFL,24.56,425.0,434.0,423.1,423.1,423.1,424.35,5125,430.0,2174816.4,43,-6.9,10.9,-1.6,2.58,-0.3,452.57,456.85,536.0,415.0
2026-08-06,232,PROFLP,21.44,236.0,236.0,236.0,236.0,236.0,236.0,106,236.0,25016.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.8,118.0
2026-08-06,233,PRSF,26.71,12.9,12.97,12.67,12.89,12.89,12.9,2850,12.88,36767.0,6,0.01,0.3,0.08,2.37,-0.08,12.45,11.85,13.61,9.85
2026-08-06,234,PRVU,21.89,184.0,196.9,184.0,192.3,192.3,191.85,76081,193.0,14596405.6,348,-0.7,12.9,-0.36,7.01,0.23,198.27,194.77,236.2,179.9
2026-08-06,235,PSF,18.36,11.79,11.8,11.79,11.8,11.8,11.8,900,11.78,10617.0,5,0.02,0.01,0.17,0.08,0.03,11.89,11.45,13.0,9.91
2026-08-06,236,PURE,19.86,825.0,834.0,825.0,825.5,825.5,827.21,2721,837.6,2250845.7,41,-12.1,9.0,-1.44,1.09,-0.21,920.81,931.4,1262.0,706.2
2026-08-06,237,RADHI,20.4,745.0,745.0,702.0,715.0,715.0,715.57,25197,716.0,18030124.6,113,-1.0,43.0,-0.14,6.13,-0.08,787.03,779.72,940.0,618.8
2026-08-06,238,RAWA,28.28,432.0,432.0,420.8,425.9,425.9,424.25,10371,427.8,4399904.7,75,-1.9,11.2,-0.44,2.66,0.39,587.52,634.44,851.7,399.0
2026-08-06,239,RBBF40,35.15,9.02,9.1,9.02,9.04,9.04,9.05,14700,9.15,133028.56,18,-0.11,0.08,-1.2,0.89,-0.11,9.45,0.0,10.36,8.95
2026-08-06,240,RBCL,23.37,14211.0,14300.0,14201.0,14300.0,14300.0,14230.0,59,14230.0,839570.0,6,70.0,99.0,0.49,0.7,0.49,15012.51,14988.07,16261.0,14000.0
2026-08-06,241,RBCLPO,17.78,11380.0,11380.0,11380.0,11380.0,11380.0,11380.0,15,11662.0,170700.0,1,-282.0,0.0,-2.42,0.0,0.0,11951.78,12060.88,13420.9,11000.0
2026-08-06,242,RFPL,32.19,325.1,339.9,325.1,333.2,333.2,334.17,11147,330.5,3724965.2,96,2.7,14.8,0.82,4.55,-0.29,373.52,374.35,652.0,306.0
2026-08-06,243,RHGCL,19.59,262.9,262.9,259.0,261.0,261.0,260.26,16537,262.0,4303868.9,84,-1.0,3.9,-0.38,1.51,0.28,287.18,278.34,353.0,217.2
2026-08-06,244,RHPL,30.44,258.0,259.0,256.0,256.5,256.5,257.18,9346,258.0,2403568.2,74,-1.5,3.0,-0.58,1.17,-0.26,279.38,277.6,350.0,251.3
2026-08-06,245,RIDI,37.85,385.0,415.0,380.0,384.9,384.9,389.28,1213509,384.0,472400346.8,2376,0.9,35.0,0.23,9.21,-1.14,345.23,305.95,415.0,203.5
2026-08-06,246,RLEL,34.59,885.0,905.0,885.0,886.0,886.0,892.45,3583,898.0,3197631.5,146,-12.0,20.0,-1.34,2.26,-0.73,0.0,0.0,1592.3,300.0
2026-08-06,247,RLFL,24.21,469.0,469.0,450.1,457.0,457.0,454.0,13466,459.9,6113553.6,77,-2.9,18.9,-0.63,4.2,0.66,459.63,451.41,516.5,398.0
2026-08-06,248,RMF1,27.43,9.55,9.68,9.4,9.68,9.68,9.55,2950,9.55,28162.5,8,0.13,0.28,1.36,2.98,1.38,9.78,9.59,11.4,8.65
2026-08-06,249,RMF2,17.91,9.64,9.85,9.64,9.85,9.85,9.82,600,9.63,5889.0,4,0.22,0.21,2.28,2.18,0.36,10.06,9.77,10.71,8.78
2026-08-06,250,RNLI,31.16,416.0,435.0,416.0,432.5,432.5,430.99,27466,437.7,11837537.9,220,-5.2,19.0,-1.19,4.57,0.35,463.06,467.82,520.2,416.0
2026-08-06,251,RSDC,29.19,637.1,645.0,633.0,635.0,635.0,636.65,2729,637.1,1737407.5,36,-2.1,12.0,-0.33,1.9,-0.26,668.38,659.0,763.0,578.7
2026-08-06,252,RSML,19.34,2600.0,2600.0,2510.0,2541.6,2541.6,2555.01,49202,2619.0,125711542.9,1025,-77.4,90.0,-2.96,3.59,-0.53,0.0,0.0,5049.0,300.0
2026-08-06,253,RSY,25.36,10.4,10.4,10.21,10.25,10.25,10.38,11700,10.41,121421.0,10,-0.16,0.19,-1.54,1.86,-1.25,10.17,9.88,10.7,8.63
2026-08-06,254,RURU,35.87,615.0,619.0,610.0,612.1,612.1,611.74,4791,615.0,2930867.4,44,-2.9,9.0,-0.47,1.48,0.06,653.53,674.77,830.0,591.0
2026-08-06,255,SABBL,17.85,980.2,1019.0,970.0,985.0,985.0,989.77,15857,990.0,15694811.2,354,-5.0,49.0,-0.51,5.05,-0.48,0.0,0.0,2000.0,300.0
2026-08-06,256,SADBL,23.68,411.0,415.0,409.0,409.0,409.0,410.91,20287,411.0,8336128.6,80,-2.0,6.0,-0.49,1.47,-0.47,417.94,412.7,463.9,376.0
2026-08-06,257,SAEF2,21.4,10.0,10.0,9.4,9.5,9.5,9.52,26800,10.0,255176.0,96,-0.5,0.6,-5.0,6.38,-0.23,0.0,0.0,10.0,9.4
2026-08-06,258,SAGAR,30.34,1750.0,1780.0,1726.2,1750.0,1750.0,1748.51,11449,1740.0,20018687.2,157,10.0,53.8,0.57,3.12,0.09,1786.29,0.0,2439.0,319.5
2026-08-06,259,SAHAS,32.29,680.0,680.0,671.0,672.0,672.0,673.01,49816,675.0,33526831.0,330,-3.0,9.0,-0.44,1.34,-0.15,631.92,614.12,716.6,535.3
2026-08-06,260,SAIL,33.01,1085.0,1130.0,1085.0,1099.0,1099.0,1112.21,40111,1125.8,44611700.0,303,-26.8,45.0,-2.38,4.15,-1.2,1164.06,0.0,1690.0,301.7
2026-08-06,261,SALICO,24.5,594.0,600.0,586.0,586.0,586.0,595.76,4260,598.0,2537929.0,25,-12.0,14.0,-2.01,2.39,-1.67,605.99,604.14,714.0,570.0
2026-08-06,262,SANIMA,30.08,376.5,376.5,373.5,373.7,373.7,374.83,83168,375.4,31173884.9,224,-1.7,3.0,-0.45,0.8,-0.3,354.55,342.66,390.6,295.0
2026-08-06,263,SANVI,30.08,600.0,604.0,596.0,597.0,597.0,598.95,3408,605.0,2041219.3,91,-8.0,8.0,-1.32,1.34,-0.33,715.64,712.89,1060.0,536.0
2026-08-06,264,SAPDBL,27.11,818.9,818.9,809.1,817.0,817.0,812.52,18015,818.9,14637623.8,140,-1.9,9.8,-0.23,1.21,0.55,833.6,833.76,1065.7,686.0
2026-08-06,265,SARBTM,25.66,781.0,792.0,781.0,783.0,783.0,785.69,2374,788.0,1865222.0,40,-5.0,11.0,-0.63,1.41,-0.34,845.48,857.96,977.0,750.0
2026-08-06,266,SBCF,30.17,9.3,9.5,9.3,9.5,9.5,9.43,9610,9.5,90616.6,9,0.0,0.2,0.0,2.15,0.74,9.74,9.54,11.5,8.82
